Aaron Shampklin,PIT,RB,5-10,195,10/18/1999,24,1
Alex Highsmith,PIT,LB,6-4,242,8/7/1997,26,5
Anderson Hardy,PIT,C,6-6,301,2/3/2000,24,1
Anthony Averett,PIT,CB,5-11,184,11/30/1994,29,6
Beanie Bishop Jr.,PIT,CB,5-9,182,12/17/1999,24,R
Breiden Fehoko,PIT,DT,6-3,300,10/15/1996,27,4
Broderick Jones,PIT,OT,6-5,311,5/16/2001,23,2
Calvin Austin III,PIT,WR,5-9,162,3/24/1999,25,3
Cameron Heyward,PIT,DT,6-5,295,5/6/1989,35,14
Cameron Johnston,PIT,P,5-11,194,2/24/1992,32,7
Chris Boswell,PIT,K,6-2,185,3/16/1991,33,10
Christian Kuntz,PIT,LS,6-1,227,4/13/1994,30,4
Cole Holcomb,PIT,LB,6-1,240,7/30/1996,27,6
Connor Heyward,PIT,TE,6-0,230,1/22/1999,25,3
Cordarrelle Patterson,PIT,RB,6-2,220,3/17/1991,33,12
Cory Trice,PIT,CB,6-3,206,5/30/2000,24,2
Daijun Edwards,PIT,RB,5-10,201,4/11/2001,23,R
Damontae Kazee,PIT,SS,5-11,174,6/5/1993,31,8
Dan Moore Jr.,PIT,OT,6-5,315,9/28/1998,25,4
Darius Rush,PIT,CB,6-2,198,2/22/2000,24,2
Darnell Washington,PIT,TE,6-7,265,8/17/2001,22,2
David Perales,PIT,LB,6-3,255,4/9/1999,25,1
DeMarvin Leal,PIT,DE,6-4,290,7/1/2000,24,3
DeShon Elliott,PIT,DB,6-1,210,4/21/1997,27,7
Dean Lowry,PIT,DE,6-6,296,6/9/1994,30,9
Devery Hamilton,PIT,OT,6-6,311,4/19/1998,26,1
Dez Fitzpatrick,PIT,WR,6-2,208,12/17/1997,26,2
Donte Jackson,PIT,CB,5-10,180,11/8/1995,28,6
Duece Watts,PIT,WR,6-1,196,12/23/1999,24,1
Dylan Cook,PIT,OT,6-6,305,1/11/1998,26,2
Elandon Roberts,PIT,OLB,6-1,238,4/22/1994,30,9
George Pickens,PIT,WR,6-3,200,3/4/2001,23,3
Grayland Arnold,PIT,SAF,5-10,187,9/4/1997,26,5
Isaac Seumalo,PIT,OG,6-4,303,10/29/1993,30,9
Isaiahh Loudermilk,PIT,DE,6-7,293,10/10/1997,26,4
J PlumleeJohn,PIT,QB,6-0,200,1/2/2001,23,R
Jack Colletto,PIT,FB,6-3,237,11/19/1998,25,1
Jacob Copeland,PIT,WR,6-0,202,7/20/1999,24,1
Jacob Slade,PIT,DT,6-4,305,2/23/2000,24,1
Jacoby Windmon,PIT,LB,6-2,250,8/20/2001,22,R
Jalen Elliott,PIT,SAF,6-0,205,7/7/1998,26,2
James Daniels,PIT,OG,6-4,327,9/13/1997,26,7
Jaray Jenkins,PIT,WR,6-2,200,1/4/2000,24,1
Jaylen Warren,PIT,RB,5-8,215,11/1/1998,25,3
Jeremiah Moon,PIT,LB,6-5,247,8/18/1998,25,2
Joey Fisher,PIT,OT,6-4,296,11/11/1997,26,1
Joey Porter Jr.,PIT,CB,6-2,194,7/26/2000,23,2
Jonathan Marshall,PIT,DT,6-3,310,9/16/1997,26,2
Jonathan Ward,PIT,RB,6-0,202,9/30/1997,26,5
Josiah Scott,PIT,CB,5-9,185,4/5/1999,25,4
Julius Welschof,PIT,LB,6-6,265,3/12/1997,27,R
Justin Fields,PIT,QB,6-3,227,3/5/1999,25,4
Kalon Barnes,PIT,CB,6-0,186,12/16/1998,25,1
Keeanu Benton,PIT,DT,6-4,309,7/17/2001,22,2
Kyle Allen,PIT,QB,6-3,210,3/8/1996,28,6
Kyron Johnson,PIT,LB,6-0,235,7/24/1998,25,3
La'Mical Perine,PIT,RB,5-11,216,1/30/1998,26,3
Larry Ogunjobi,PIT,DT,6-3,305,6/3/1994,30,8
Logan Lee,PIT,DT,6-5,286,6/12/2000,24,R
Mark Robinson,PIT,LB,5-11,235,8/14/1999,24,3
Marquez Callaway,PIT,WR,6-2,204,3/27/1998,26,4
Mason McCormick,PIT,OG,6-5,315,5/25/2000,24,R
Matthew Wright,PIT,K,5-11,174,3/22/1996,28,3
Miles Killebrew,PIT,DB,6-2,222,5/10/1993,31,9
Minkah Fitzpatrick,PIT,FS,6-1,207,11/17/1996,27,7
Montravius Adams,PIT,DT,6-4,304,7/24/1995,28,8
MyCole Pruitt,PIT,TE,6-2,258,3/24/1992,32,9
Najee Harris,PIT,RB,6-1,242,3/9/1998,26,4
Nate Herbig,PIT,OG,6-4,334,7/10/1998,26,6
Nathan Meadors,PIT,DB,5-9,194,2/13/1997,27,1
Nick Herbig,PIT,LB,6-2,240,11/21/2001,22,2
Pat Freiermuth,PIT,TE,6-5,258,10/25/1998,25,4
Patrick Queen,PIT,LB,6-0,232,8/13/1999,24,5
Payton Wilson,PIT,LB,6-4,242,4/21/2000,24,R
